ID,DescriptionOfID,Vat,Taxable,RunDate,ExpirationDate,CreateDate,LastEditDate,Type,PricingDescription
2809734954277,کالای وارداتی فرضی با تاریخ انقضا,10,مشمول,1403-01-15,1404-06-30,1405-12-15,1404-06-30,شناسه اختصاصی وارداتی,
2719635367398,شیر فرضی,10,مشمول,1405-02-12,,1405-12-11,1405-12-11,شناسه عمومی وارداتی,
2909155236005,کفش نمونه مدل 65/ شرکت نمونه فرضی 3,10,مشمول,1404-11-26,,1405-11-27,1405-11-27,شناسه اختصاصی تولید داخل,
2339548088184,خدمات حمل فرضی مدل 94/ شرکت نمونه فرضی 1,10,مشمول,1405-10-09,,1405-11-09,1405-11-09,شناسه اختصاصی خدمت,
2729057385341,برنج فرضی,10,مشمول,1404-06-12,,1405-11-04,1405-11-04,شناسه عمومی تولید داخل,
2909450557305,صندلی فرضی مدل 64/ شرکت نمونه فرضی 5,10,مشمول,1403-06-18,,1405-10-04,1405-10-04,شناسه اختصاصی تولید داخل,
2729688871319,پارچه آزمایشی,10,مشمول,1404-12-19,,1405-09-20,1405-09-20,شناسه عمومی تولید داخل,
2809257424641,نان آزمایشی دارای سابقه تغییر/ شرکت نمونه فرضی,10,مشمول,1402-07-01,1403-06-31,1405-09-19,1403-06-31,شناسه اختصاصی وارداتی,
2339887184975,خدمات نظافت نمونه,10,مشمول,1405-10-07,,1405-09-04,1405-10-07,شناسه عمومی خدمت,
2909099592792,کالای فرضی نرخ اعشاری,12.5,مشمول,1405-03-26,,1405-08-26,1405-08-26,شناسه اختصاصی تولید داخل,
2729661819390,نان آزمایشی,0,معاف,1404-08-13,,1405-07-10,1405-07-10,شناسه عمومی تولید داخل,
2909953976156,کالای فرضی با توضیح نرخ/ شرکت نمونه,0,معاف,1405-10-16,,1405-05-28,1405-10-16,شناسه اختصاصی تولید داخل,"متن توضیح فرضی برای آزمون، شامل ویرگول و
شکست خط (ساختگی)"
2909670426584,پیچ نمونه مدل 1/ شرکت نمونه فرضی 8,10,مشمول,1403-03-11,,1405-05-16,1405-05-16,شناسه اختصاصی تولید داخل,
2729744617259,پیچ نمونه,10,مشمول,1404-07-22,,1405-05-13,1405-05-13,شناسه عمومی تولید داخل,
2339361159730,خدمات آموزشی آزمایشی,0,معاف,1404-10-26,,1405-04-21,1405-04-21,شناسه عمومی خدمت,
2909206651897,برنج فرضی دارای سابقه تغییر/ شرکت نمونه فرضی,10,مشمول,1405-01-01,,1405-03-10,1405-03-10,شناسه اختصاصی تولید داخل,
2339578798206,خدمات حمل فرضی مدل 31/ شرکت نمونه فرضی 4,10,مشمول,1405-12-09,,1405-03-04,1405-12-09,شناسه اختصاصی خدمت,
2339684231416,خدمات حمل فرضی,0,معاف,1402-01-04,,1405-02-24,1405-02-24,شناسه عمومی خدمت,
2909206651897,برنج فرضی دارای سابقه تغییر/ شرکت نمونه فرضی,9,مشمول,1402-01-01,1403-12-29,1405-01-21,1403-12-29,شناسه اختصاصی تولید داخل,
2909206651897,برنج فرضی دارای سابقه تغییر/ شرکت نمونه فرضی,10,مشمول,1404-01-01,1404-12-29,1405-01-13,1404-12-29,شناسه اختصاصی تولید داخل,
2719437383461,نان آزمایشی,10,مشمول,1402-09-01,,1404-12-06,1404-12-06,شناسه عمومی وارداتی,
2339605887067,خدمات نظافت نمونه دارای سابقه تغییر/ شرکت نمونه فرضی,9,مشمول,1402-01-01,1402-12-29,1404-11-26,1402-12-29,شناسه اختصاصی خدمت,
2729472776955,دفترچه فرضی,9,مشمول,1403-04-01,,1404-11-10,1404-11-10,شناسه عمومی تولید داخل,
2719694160597,لیوان نمونه آزمایشی,0,معاف,1405-10-02,,1404-09-24,1405-10-02,شناسه عمومی وارداتی,
2339817093578,خدمات مشاوره فرضی مدل 78/ شرکت نمونه فرضی 8,10,مشمول,1402-06-17,,1404-09-18,1404-09-18,شناسه اختصاصی خدمت,
2809257424641,نان آزمایشی دارای سابقه تغییر/ شرکت نمونه فرضی,0,معاف,1403-07-01,1404-12-29,1404-07-01,1404-12-29,شناسه اختصاصی وارداتی,
2719083638888,صابون نمونه,10,مشمول,1403-09-04,,1404-06-29,1404-06-29,شناسه عمومی وارداتی,
2339605887067,خدمات نظافت نمونه دارای سابقه تغییر/ شرکت نمونه فرضی,10,مشمول,1403-01-01,,1404-06-28,1404-06-28,شناسه اختصاصی خدمت,
2809834670390,دفترچه فرضی دارای سابقه تغییر/ شرکت نمونه فرضی,0,معاف,1404-07-01,,1404-06-18,1404-07-01,شناسه اختصاصی وارداتی,
2909638323356,چراغ مطالعه فرضی مدل 69/ شرکت نمونه فرضی 1,0,معاف,1402-07-10,,1404-05-03,1404-05-03,شناسه اختصاصی تولید داخل,
2809376310291,برنج فرضی مدل 14/ شرکت نمونه فرضی 5,9,مشمول,1404-02-07,,1404-04-26,1404-04-26,شناسه اختصاصی وارداتی,
2809342900995,نان آزمایشی مدل 34/ شرکت نمونه فرضی 1,0,معاف,1404-10-07,,1404-04-16,1404-10-07,شناسه اختصاصی وارداتی,
2909943846083,صابون نمونه مدل 11/ شرکت نمونه فرضی 6,9,مشمول,1403-12-08,,1404-03-02,1404-03-02,شناسه اختصاصی تولید داخل,
2809008655245,شیر فرضی مدل 87/ شرکت نمونه فرضی 9,10,مشمول,1403-04-21,,1404-01-03,1404-01-03,شناسه اختصاصی وارداتی,
2719333501610,شیر فرضی,0,معاف,1402-02-29,,1403-12-08,1403-12-08,شناسه عمومی وارداتی,
2809834670390,دفترچه فرضی دارای سابقه تغییر/ شرکت نمونه فرضی,10,مشمول,1403-01-01,1404-06-31,1403-11-25,1404-06-31,شناسه اختصاصی وارداتی,
2339018689563,خدمات فرضی نمونه/ غیر مشمول آزمایشی,0,غیر مشمول,1405-08-23,,1403-11-11,1405-08-23,شناسه اختصاصی خدمت,
2809839124072,چراغ مطالعه فرضی مدل 41/ شرکت نمونه فرضی 3,0,معاف,1405-11-03,,1403-10-06,1405-11-03,شناسه اختصاصی وارداتی,
2809257424641,نان آزمایشی دارای سابقه تغییر/ شرکت نمونه فرضی,10,مشمول,1405-01-01,,1403-09-07,1405-01-01,شناسه اختصاصی وارداتی,
2809021153081,روغن فرضی مدل 16/ شرکت نمونه فرضی 1,9,مشمول,1402-09-20,,1403-08-23,1403-08-23,شناسه اختصاصی وارداتی,
2809628775523,نان آزمایشی مدل 60/ شرکت نمونه فرضی 4,0,معاف,1402-04-01,,1403-06-27,1403-06-27,شناسه اختصاصی وارداتی,
2339112306342,خدمات آموزشی آزمایشی مدل 30/ شرکت نمونه فرضی 2,10,مشمول,1402-03-11,,1403-06-20,1403-06-20,شناسه اختصاصی خدمت,
2729260780947,برنج فرضی,9,مشمول,1405-09-10,,1403-06-13,1405-09-10,شناسه عمومی تولید داخل,
2339084382851,خدمات آموزشی آزمایشی,0,معاف,1403-06-14,,1403-05-06,1403-06-14,شناسه عمومی خدمت,
2339731576325,خدمات نظافت نمونه مدل 80/ شرکت نمونه فرضی 5,10,مشمول,1405-10-07,,1403-05-05,1405-10-07,شناسه اختصاصی خدمت,
2909231400877,کابل آزمایشی مدل 84/ شرکت نمونه فرضی 5,0,معاف,1402-03-10,,1403-04-14,1403-04-14,شناسه اختصاصی تولید داخل,
2339669896671,خدمات مشاوره فرضی,9,مشمول,1403-11-03,,1403-04-01,1403-11-03,شناسه عمومی خدمت,
2719055455491,کابل آزمایشی,9,مشمول,1404-07-13,,1403-03-08,1404-07-13,شناسه عمومی وارداتی,
2339109089775,خدمات حمل فرضی مدل 48/ شرکت نمونه فرضی 6,10,مشمول,1403-06-27,,1403-02-27,1403-06-27,شناسه اختصاصی خدمت,
2339857623414,خدمات تعمیر نمونه,10,مشمول,1403-02-08,,1403-01-24,1403-02-08,شناسه عمومی خدمت,
